ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D355598,叮当智慧药店北京有限公司（马家堡店）,C,69667.544,C700535,叮当智慧药房(北京)有限公司,叮当智慧药店(（马家堡店）),116.433224,39.898797,False,23.21024318190527,339845,,2,378
D356796,北京开心人大药房有限公司西马各庄店,C,3301.553,D070507,北京开心人大药房有限公司,开心人大药房(西马各庄店),116.501933,39.925281,False,20.02687672103928,333494,,2,379
D356945,北京福瑞宏达医药有限公司第42分店(阎村),C,4194.189,D070415,北京高远百康大药房有限公司,福瑞宏达(阎村店),116.074765,39.712142,False,2.909228012806648,45813,,4,380
D357000,北京养生堂药店有限公司阜通路西大街药店,C,20144.116,C700533,北京养生堂药店有限公司,养生堂药店(阜通路西大街药店),116.333905,39.724884,False,9.518041087471637,145334,,3,381
D357359,北京同仁堂京北企业管理有限公司平谷迎宾环岛药店,C,2449.523,W701927,北京同仁堂商业投资集团有限公司,北京市平谷区迎宾街1号院22号楼-1层(-101)09号,117.094211,40.146274,False,9.154244234871296,151773,,3,382
D357461,北京福瑞宏达医药有限公司第67分店(顺义府前街),C,0,,,福瑞宏达(顺义府前街店),116.534015,40.24808,False,0.3870798460267813,6491,,4,383
D357524,北京京海康佰馨医药有限责任公司电商部,C,121661.346,D201169,北京京海康佰馨医药有限责任公司,京海康佰馨医药(电商部),116.463824,40.013027,False,16.63318124774188,192707,,3,384
D357668,北京东升天保堂连锁药店有限公司林业大学北路店,C,11981.48,D106309,北京恒创佳益医药有限公司,北京市海淀区林业大学北路18号院2号楼1层0118,116.347394,40.006937,False,23.405770275567146,384004,,2,385
DM0011314,北京养生堂药店有限公司缤纷城药店,C,,C700533,北京养生堂药店有限公司,北京市房山区拱辰街道天星街1号院25幢-1层-101-C013,116.160744,39.756688,False,5.480838325138722,91909,,4,386
DM0011616,思方隆(北京)医药有限公司东方广场店,C,9451.628,C700534,思方隆(北京)医药有限公司,思方隆(东方广场店),116.412233,39.909874,False,30.19288702408622,499611,,1,387
DM0390394,北京万民阳光大药房有限公司朝阳北路店,C,16081.876,D089098,北京万民阳光大药房有限公司,北京市朝阳区定福家园南里3号院1号楼1-2,116.566435,39.923701,False,14.95798448921602,239436,,3,388
DM0398811,北京同仁堂润丰医药有限公司东坝药店,C,4067.045,W701927,北京同仁堂商业投资集团有限公司,北京市朝阳区和敬路4号院6号楼1层（01）6-2,116.575607,39.958954,False,6.109205192082948,99564,,4,389
DM0398812,北京同仁堂苏州街医药有限责任公司丰科园店,C,3165.607,W701927,北京同仁堂商业投资集团有限公司,北京市丰台区南四环西路186号四区9幢1层4F9-1,116.295751,39.822299,False,12.604894070396554,209130,,3,390
DM0440524,叮当智慧药房(北京)有限公司第十八店,C,0,C700535,叮当智慧药房(北京)有限公司,叮当智慧药房(第十八店),116.318591,39.972078,False,29.73537716580745,498637,,1,391
DM0470233,北京高远百康大药房有限公司甘露园分店,C,14316.697,D070415,北京高远百康大药房有限公司,北京市朝阳区甘露园南里二区15号楼一层2号区域,116.516381,39.913747,False,16.055838399869053,259097,,3,392
DM0470235,北京高远百康大药房有限公司顺丰大街分店,C,4740.61,D070415,北京高远百康大药房有限公司,北京市顺义区顺丰大街16号院1号楼1层101,116.649342,40.186415,False,2.3189911920654986,35528,,4,393
DM0470240,北京京海康佰馨医药有限责任公司华晨康泰大屯店,C,16529.053,D201169,北京京海康佰馨医药有限责任公司,京海康佰馨医药(华晨康泰大屯店),116.463824,40.013027,False,12.190277081662915,192707,,3,394
DM0470241,北京京海康佰馨医药有限责任公司华威,C,0,D201169,北京京海康佰馨医药有限责任公司,京海康佰馨医药(华威),116.463824,40.013027,False,11.49175718506901,192707,,3,395
DM0470243,北京京海康佰馨医药有限责任公司天丰利,C,7475.496,D201169,北京京海康佰馨医药有限责任公司,京海康佰馨医药(天丰利),116.370139,40.037308,False,8.919988970049182,144283,,3,396
DM0470251,北京壹壹壹商业连锁有限公司鼓楼大街分店,C,14911.658,W708766,北京壹壹壹商业连锁有限公司,北京市昌平区城北街道鼓楼南街12号1层,116.233797,40.221339,False,12.14631578756097,193116,,3,397
DM0470256,北京壹壹壹商业连锁有限公司南沙滩分店,C,61306.408,W708766,北京壹壹壹商业连锁有限公司,北京市朝阳区科学园南里西街3号院5号楼1层2单元101,116.377146,39.997434,False,13.250331297813304,178751,,3,398
DM0470258,北京壹壹壹商业连锁有限公司望京西园分店,C,20603.27,W708766,北京壹壹壹商业连锁有限公司,北京市朝阳区望京西园三区326号01-01,116.473928,40.000862,False,11.961360338860153,185981,,3,399
